defense_ranker,defense_name_display,defense_age,defense_team_name_abbr,defense_pos,defense_games,defense_games_started,defense_def_int,defense_def_targets,defense_def_cmp,defense_def_cmp_pct,defense_def_cmp_yds,defense_def_yds_per_cmp,defense_def_yds_per_target,defense_def_cmp_td,defense_def_pass_rating,defense_def_tgt_yds_per_att,defense_def_air_yds,defense_def_yac,defense_blitzes,defense_qb_hurry,defense_qb_knockdown,defense_def_batted_passes,defense_sacks,defense_pressures,defense_tackles_combined,defense_tackles_missed,defense_tackles_missed_pct,defense_awards
1.0,Zach Cunningham,26.0,HOU,LILB,16.0,16.0,0.0,43.0,37.0,86.0,452.0,12.2,10.5,2.0,126.0,4.4,112.0,340.0,35.0,3.0,1.0,0.0,3.0,7.0,164.0,17.0,9.4,
2.0,Jaylon Smith,25.0,DAL,RLB,16.0,16.0,1.0,59.0,42.0,71.2,424.0,10.1,7.2,3.0,101.2,3.8,139.0,285.0,45.0,1.0,3.0,0.0,1.5,6.0,154.0,9.0,5.5,
3.0,Blake Martinez,26.0,NYG,LILB,16.0,16.0,1.0,75.0,59.0,78.7,542.0,9.2,7.2,0.0,91.2,4.2,284.0,258.0,43.0,1.0,3.0,0.0,3.0,7.0,151.0,10.0,6.2,
4.0,Joe Schobert,27.0,JAX,MLB,16.0,16.0,3.0,66.0,49.0,74.2,550.0,11.2,8.3,6.0,110.0,5.7,201.0,349.0,59.0,2.0,3.0,0.0,2.5,9.0,141.0,14.0,9.0,
5.0,Devin White,22.0,TAM,LILB,15.0,15.0,0.0,84.0,70.0,83.3,626.0,8.9,7.5,3.0,109.6,4.6,311.0,315.0,91.0,3.0,8.0,0.0,9.0,20.0,140.0,15.0,9.7,AP-2
6.0,Roquan Smith,23.0,CHI,LILB,16.0,16.0,2.0,79.0,50.0,63.3,290.0,5.8,3.7,0.0,59.6,2.3,66.0,224.0,33.0,4.0,3.0,0.0,4.0,11.0,139.0,10.0,6.7,AP-2
7.0,Bobby Wagner,30.0,SEA,RILB,16.0,16.0,0.0,81.0,52.0,64.2,488.0,9.4,6.0,2.0,88.9,6.8,234.0,254.0,100.0,1.0,8.0,1.0,3.0,12.0,138.0,10.0,6.8,"PB,AP-1"
8.0,Neville Hewitt,27.0,NYJ,RILB,16.0,16.0,0.0,78.0,55.0,70.5,530.0,9.6,6.8,1.0,93.4,5.5,261.0,269.0,82.0,1.0,2.0,0.0,2.0,6.0,134.0,16.0,10.7,
9.0,Shaquille Leonard,25.0,IND,LLB,14.0,14.0,0.0,70.0,57.0,81.4,474.0,8.3,6.8,3.0,109.2,4.0,165.0,309.0,45.0,3.0,0.0,2.0,3.0,8.0,132.0,7.0,5.0,"PB,AP-1"
10.0,Tyrell Adams,28.0,HOU,RILB,16.0,12.0,0.0,61.0,48.0,78.7,461.0,9.6,7.6,4.0,120.0,4.1,184.0,277.0,44.0,1.0,1.0,0.0,2.0,4.0,125.0,12.0,8.8,
11.0,Fred Warner,24.0,SFO,MLB,16.0,16.0,2.0,61.0,38.0,62.3,270.0,7.1,4.4,2.0,69.7,4.2,80.0,190.0,76.0,9.0,6.0,1.0,1.0,16.0,125.0,7.0,5.3,"PB,AP-1"
12.0,Alexander Johnson,29.0,DEN,LILB,16.0,16.0,0.0,67.0,48.0,71.6,433.0,9.0,6.5,0.0,88.7,3.2,111.0,322.0,115.0,4.0,4.0,0.0,1.0,9.0,124.0,7.0,5.3,
13.0,Jordan Poyer,29.0,BUF,SS,16.0,16.0,2.0,48.0,35.0,72.9,273.0,7.8,5.7,3.0,90.0,5.6,169.0,104.0,55.0,1.0,2.0,1.0,2.0,5.0,124.0,11.0,8.1,
14.0,Eric Wilson,26.0,MIN,RLB,16.0,15.0,3.0,65.0,45.0,69.2,366.0,8.1,5.6,2.0,74.3,4.4,135.0,231.0,75.0,1.0,5.0,1.0,3.0,10.0,122.0,17.0,12.2,
15.0,Alex Singleton,27.0,PHI,LLB,16.0,11.0,1.0,40.0,30.0,75.0,227.0,7.6,5.7,3.0,102.8,4.5,97.0,130.0,36.0,1.0,5.0,0.0,2.0,8.0,120.0,13.0,9.8,
16.0,Demario Davis,31.0,NOR,MLB,16.0,16.0,0.0,54.0,38.0,70.4,271.0,7.1,5.0,4.0,106.3,2.4,28.0,243.0,90.0,4.0,8.0,2.0,4.0,16.0,119.0,9.0,7.0,AP-2
17.0,Tremaine Edmunds,22.0,BUF,MLB,15.0,15.0,0.0,64.0,43.0,67.2,543.0,12.6,8.5,4.0,114.3,5.6,261.0,282.0,72.0,0.0,1.0,0.0,2.0,3.0,119.0,12.0,9.2,PB
18.0,Budda Baker,24.0,ARI,SS,15.0,15.0,2.0,42.0,30.0,71.4,339.0,11.3,8.1,5.0,115.0,7.8,190.0,149.0,70.0,5.0,1.0,1.0,2.0,8.0,118.0,13.0,9.9,"PB,AP-1"
19.0,Jonathan Bostic,29.0,WAS,MLB,16.0,15.0,1.0,61.0,44.0,72.1,410.0,9.3,6.7,2.0,94.3,4.8,169.0,241.0,61.0,1.0,4.0,0.0,3.0,8.0,118.0,10.0,7.8,
20.0,Jordan Hicks,28.0,ARI,RILB,16.0,16.0,1.0,62.0,44.0,71.0,460.0,10.5,7.4,0.0,85.4,5.3,211.0,249.0,89.0,4.0,1.0,1.0,0.0,5.0,118.0,11.0,8.5,
21.0,Myles Jack,25.0,JAX,LLB,14.0,14.0,1.0,56.0,43.0,76.8,337.0,7.8,6.0,2.0,95.6,2.6,47.0,290.0,43.0,1.0,1.0,1.0,1.0,3.0,118.0,8.0,6.3,
22.0,Jeremy Chinn,22.0,CAR,RLB,15.0,15.0,1.0,64.0,47.0,73.4,422.0,9.0,6.6,6.0,115.5,6.9,212.0,210.0,65.0,2.0,4.0,0.0,1.0,7.0,117.0,15.0,11.4,AP DRoY-2
23.0,Lavonte David,30.0,TAM,RILB,16.0,16.0,1.0,92.0,69.0,75.0,417.0,6.0,4.5,4.0,93.4,3.1,172.0,245.0,65.0,0.0,1.0,1.0,1.5,3.0,117.0,10.0,7.9,AP-2
24.0,Foyesade Oluokun,25.0,ATL,MLB,15.0,14.0,2.0,66.0,49.0,74.2,418.0,8.5,6.3,2.0,87.8,5.0,161.0,257.0,82.0,3.0,6.0,0.0,3.0,13.0,117.0,14.0,10.7,
25.0,Vonn Bell,26.0,CIN,SS,16.0,16.0,0.0,59.0,38.0,64.4,519.0,13.7,8.8,5.0,120.7,9.3,295.0,224.0,36.0,1.0,4.0,0.0,0.0,5.0,114.0,5.0,4.2,
26.0,Shaq Thompson,26.0,CAR,LLB,16.0,15.0,0.0,76.0,56.0,73.7,417.0,7.4,5.5,1.0,90.7,3.8,177.0,240.0,55.0,2.0,2.0,0.0,0.0,4.0,114.0,8.0,6.6,
27.0,Josey Jewell,26.0,DEN,RILB,16.0,16.0,0.0,66.0,48.0,72.7,407.0,8.5,6.2,1.0,93.4,4.3,164.0,243.0,58.0,2.0,3.0,0.0,2.0,7.0,113.0,4.0,3.4,
28.0,Danny Trevathan,30.0,CHI,RILB,16.0,16.0,0.0,59.0,46.0,78.0,573.0,12.5,9.7,2.0,118.4,6.6,276.0,297.0,26.0,1.0,1.0,0.0,1.0,3.0,113.0,6.0,5.0,
29.0,Jerome Baker,24.0,MIA,RILB,16.0,11.0,0.0,57.0,40.0,70.2,349.0,8.7,6.1,0.0,86.1,5.5,162.0,187.0,99.0,4.0,3.0,0.0,7.0,15.0,112.0,10.0,8.2,
30.0,Kevin Byard,27.0,TEN,FS,16.0,16.0,1.0,45.0,33.0,73.3,314.0,9.5,7.0,4.0,112.6,8.6,186.0,128.0,29.0,1.0,1.0,0.0,0.0,2.0,111.0,8.0,6.7,
31.0,Avery Williamson,28.0,2TM,LILB,15.0,10.0,1.0,54.0,47.0,87.0,452.0,9.6,8.4,2.0,106.2,3.8,174.0,278.0,41.0,0.0,1.0,0.0,1.0,2.0,111.0,6.0,5.1,
31.0,Avery Williamson,28.0,NYJ,LILB,7.0,6.0,1.0,33.0,31.0,93.9,306.0,9.9,9.3,0.0,92.7,3.3,104.0,202.0,14.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,3.3,
31.0,Avery Williamson,28.0,PIT,LB,8.0,4.0,0.0,21.0,16.0,76.2,146.0,9.1,7.0,2.0,126.3,4.5,70.0,76.0,27.0,0.0,1.0,0.0,1.0,2.0,52.0,4.0,7.1,
32.0,Jessie Bates III,23.0,CIN,FS,16.0,16.0,3.0,46.0,25.0,54.3,317.0,12.7,6.9,3.0,70.7,10.3,217.0,100.0,6.0,0.0,1.0,0.0,0.0,1.0,109.0,16.0,12.8,AP-2
33.0,Adrian Phillips,28.0,NWE,SS,16.0,16.0,2.0,44.0,34.0,77.3,331.0,9.7,7.5,1.0,86.5,4.1,133.0,198.0,42.0,2.0,0.0,0.0,1.0,3.0,109.0,6.0,5.2,
34.0,Eric Kendricks,28.0,MIN,MLB,11.0,11.0,3.0,41.0,29.0,70.7,278.0,9.6,6.8,0.0,58.8,6.0,131.0,147.0,53.0,4.0,1.0,0.0,0.0,5.0,107.0,8.0,7.0,
35.0,Kenneth Murray,22.0,LAC,RLB,16.0,16.0,0.0,53.0,44.0,83.0,428.0,9.7,8.1,2.0,112.9,5.6,238.0,190.0,32.0,0.0,0.0,0.0,1.0,1.0,107.0,8.0,7.0,
36.0,Deion Jones,26.0,ATL,LLB,16.0,16.0,2.0,54.0,40.0,74.1,371.0,9.3,6.9,6.0,114.0,4.8,85.0,286.0,61.0,5.0,6.0,0.0,4.5,16.0,106.0,11.0,9.4,
37.0,Patrick Queen,21.0,BAL,LILB,16.0,16.0,1.0,54.0,41.0,75.9,366.0,8.9,6.8,3.0,104.4,4.1,134.0,232.0,86.0,3.0,7.0,0.0,3.0,13.0,106.0,21.0,16.5,AP DRoY-3
38.0,John Johnson,25.0,LAR,FS,16.0,16.0,1.0,68.0,47.0,69.1,321.0,6.8,4.7,0.0,73.2,6.1,149.0,172.0,6.0,1.0,0.0,0.0,0.0,1.0,105.0,9.0,7.9,
39.0,Anthony Harris,29.0,MIN,FS,16.0,16.0,0.0,36.0,21.0,58.3,262.0,12.5,7.3,4.0,118.1,11.5,171.0,91.0,18.0,0.0,0.0,0.0,0.0,0.0,104.0,10.0,8.8,
40.0,Jamie Collins,31.0,DET,RLB/MLB,14.0,14.0,1.0,47.0,34.0,72.3,434.0,12.8,9.2,2.0,106.2,5.9,178.0,256.0,42.0,3.0,2.0,1.0,1.0,6.0,101.0,12.0,10.6,
41.0,Malcolm Butler,30.0,TEN,RCB,16.0,16.0,4.0,127.0,80.0,63.0,873.0,10.9,6.9,5.0,83.2,9.9,647.0,226.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,9.1,
42.0,Keanu Neal,25.0,ATL,FS,15.0,14.0,1.0,66.0,49.0,74.2,564.0,11.5,8.5,1.0,98.3,6.3,294.0,270.0,27.0,3.0,2.0,0.0,1.0,6.0,100.0,11.0,9.9,
43.0,Josh Bynes,31.0,CIN,LLB,16.0,16.0,0.0,36.0,26.0,72.2,211.0,8.1,5.9,0.0,86.7,1.6,42.0,169.0,24.0,0.0,1.0,0.0,1.0,2.0,99.0,16.0,13.9,
44.0,De'Vondre Campbell,27.0,ARI,LILB,16.0,16.0,0.0,56.0,41.0,73.2,393.0,9.6,7.0,2.0,104.2,4.4,114.0,279.0,43.0,3.0,0.0,0.0,2.0,5.0,99.0,13.0,11.6,
45.0,Chuck Clark,25.0,BAL,SS,16.0,16.0,1.0,53.0,32.0,60.4,348.0,10.9,6.6,2.0,84.5,7.2,152.0,196.0,60.0,3.0,2.0,0.0,1.5,7.0,96.0,5.0,5.0,
46.0,Rashaan Evans,25.0,TEN,LILB,16.0,16.0,0.0,34.0,25.0,73.5,194.0,7.8,5.7,0.0,87.1,4.5,47.0,147.0,53.0,2.0,3.0,0.0,0.5,6.0,96.0,3.0,3.0,
47.0,Justin Simmons,27.0,DEN,FS,16.0,16.0,5.0,54.0,42.0,77.8,447.0,10.6,8.3,7.0,102.2,8.6,288.0,159.0,9.0,3.0,0.0,2.0,0.0,3.0,96.0,12.0,11.1,PB
48.0,Tre Boston,28.0,CAR,FS,16.0,16.0,1.0,55.0,37.0,67.3,347.0,9.4,6.3,3.0,95.0,7.6,191.0,156.0,22.0,0.0,1.0,0.0,1.0,2.0,95.0,15.0,13.6,
49.0,Taron Johnson,24.0,BUF,DB,16.0,11.0,1.0,80.0,54.0,67.5,551.0,10.2,6.9,2.0,90.2,5.9,305.0,246.0,41.0,6.0,2.0,0.0,1.0,9.0,94.0,14.0,13.0,
50.0,Logan Ryan,29.0,NYG,FS,16.0,15.0,1.0,53.0,33.0,62.3,336.0,10.2,6.3,2.0,85.1,7.5,201.0,135.0,23.0,3.0,3.0,1.0,1.0,7.0,94.0,11.0,10.5,
51.0,Antoine Winfield Jr.,22.0,TAM,SS,16.0,16.0,1.0,39.0,30.0,76.9,526.0,17.5,13.5,6.0,147.2,13.1,379.0,147.0,45.0,1.0,1.0,1.0,3.0,6.0,94.0,7.0,6.9,AP DRoY-4
