receiving_ranker,receiving_name_display,receiving_age,receiving_team_name_abbr,receiving_pos,receiving_games,receiving_games_started,receiving_targets,receiving_rec,receiving_rec_yds,receiving_rec_first_down,receiving_rec_air_yds,receiving_rec_air_yds_per_rec,receiving_rec_yac,receiving_rec_yac_per_rec,receiving_rec_adot,receiving_rec_broken_tackles,receiving_rec_broken_tackles_per_rec,receiving_rec_drops,receiving_rec_drop_pct,receiving_rec_target_int,receiving_rec_pass_rating,receiving_awards
1.0,Cooper Kupp,28.0,LAR,WR,17.0,17.0,191.0,145.0,1947.0,89.0,1101.0,7.6,846.0,5.8,8.6,10.0,14.5,8.0,4.2,5.0,124.8,"PB,AP-1,AP MVP-3,AP OPoY-1"
2.0,Davante Adams,29.0,GNB,WR,16.0,16.0,169.0,123.0,1553.0,84.0,961.0,7.8,592.0,4.8,9.6,5.0,24.6,3.0,1.8,3.0,115.3,"PB,AP-1"
3.0,Tyreek Hill,27.0,KAN,WR,17.0,16.0,159.0,111.0,1239.0,75.0,795.0,7.2,444.0,4.0,10.4,10.0,11.1,7.0,4.4,3.0,103.7,PB
4.0,Justin Jefferson,22.0,MIN,WR,17.0,17.0,167.0,108.0,1616.0,75.0,1134.0,10.5,482.0,4.5,12.4,5.0,21.6,7.0,4.2,2.0,111.3,"PB,AP-2"
5.0,Mark Andrews,26.0,BAL,TE,17.0,9.0,153.0,107.0,1361.0,75.0,903.0,8.4,458.0,4.3,10.3,4.0,26.8,3.0,2.0,9.0,92.5,"PB,AP-1"
6.0,Diontae Johnson,25.0,PIT,WR,16.0,14.0,169.0,107.0,1161.0,59.0,634.0,5.9,527.0,4.9,8.5,8.0,13.4,5.0,3.0,3.0,91.9,PB
7.0,Keenan Allen,29.0,LAC,WR,16.0,16.0,157.0,106.0,1138.0,66.0,801.0,7.6,337.0,3.2,8.4,1.0,106.0,8.0,5.1,5.0,88.0,PB
8.0,Jaylen Waddle,23.0,MIA,WR,16.0,16.0,140.0,104.0,1015.0,59.0,576.0,5.5,439.0,4.2,7.1,4.0,26.0,8.0,5.7,7.0,87.6,
9.0,Stefon Diggs,28.0,BUF,WR,17.0,17.0,164.0,103.0,1225.0,66.0,899.0,8.7,326.0,3.2,11.1,7.0,14.7,5.0,3.0,6.0,90.6,PB
10.0,Hunter Renfrow,26.0,LVR,WR,17.0,9.0,128.0,103.0,1038.0,51.0,586.0,5.7,452.0,4.4,6.5,2.0,51.5,2.0,1.6,1.0,120.6,PB
11.0,Chris Godwin,25.0,TAM,WR,14.0,14.0,127.0,98.0,1103.0,55.0,517.0,5.3,586.0,6.0,7.3,5.0,19.6,5.0,3.9,2.0,109.1,
12.0,D.J. Moore,24.0,CAR,WR,17.0,17.0,163.0,93.0,1157.0,60.0,731.0,7.9,426.0,4.6,10.6,4.0,23.3,10.0,6.1,6.0,72.0,
13.0,Travis Kelce,32.0,KAN,TE,16.0,16.0,134.0,92.0,1125.0,63.0,561.0,6.1,564.0,6.1,7.4,8.0,11.5,10.0,7.5,5.0,101.1,"PB,AP-2"
14.0,Marquise Brown,24.0,BAL,WR,16.0,16.0,146.0,91.0,1008.0,41.0,620.0,6.8,388.0,4.3,11.1,4.0,22.8,7.0,4.8,3.0,87.9,
15.0,Brandin Cooks,28.0,HOU,WR,16.0,16.0,134.0,90.0,1037.0,45.0,680.0,7.6,357.0,4.0,10.5,5.0,18.0,5.0,3.7,3.0,95.9,
16.0,Amon-Ra St. Brown,22.0,DET,WR,17.0,9.0,119.0,90.0,912.0,48.0,488.0,5.4,424.0,4.7,7.1,2.0,45.0,1.0,0.8,2.0,104.0,
17.0,Michael Pittman Jr.,24.0,IND,WR,17.0,17.0,129.0,88.0,1082.0,54.0,734.0,8.3,348.0,4.0,9.8,2.0,44.0,6.0,4.7,3.0,99.7,
18.0,Jakobi Meyers,25.0,NWE,WR,17.0,16.0,126.0,83.0,866.0,42.0,644.0,7.8,222.0,2.7,9.8,1.0,83.0,3.0,2.4,3.0,81.0,
19.0,Cole Beasley,32.0,BUF,WR,16.0,8.0,112.0,82.0,693.0,34.0,388.0,4.7,305.0,3.7,5.6,0.0,,5.0,4.5,3.0,80.7,
20.0,Ja'Marr Chase,21.0,CIN,WR,17.0,17.0,128.0,81.0,1455.0,56.0,804.0,9.9,651.0,8.0,12.6,8.0,10.1,11.0,8.6,6.0,116.5,"PB,AP-2,AP ORoY-1"
21.0,Darnell Mooney,24.0,CHI,WR,17.0,14.0,140.0,81.0,1055.0,49.0,674.0,8.3,381.0,4.7,11.1,5.0,16.2,9.0,6.4,8.0,67.4,
22.0,CeeDee Lamb,22.0,DAL,WR,16.0,13.0,120.0,79.0,1102.0,54.0,661.0,8.4,441.0,5.6,10.3,12.0,6.6,8.0,6.7,6.0,91.0,PB
23.0,Dalton Schultz,25.0,DAL,TE,17.0,15.0,104.0,78.0,808.0,43.0,460.0,5.9,348.0,4.5,7.1,3.0,26.0,4.0,3.8,1.0,118.6,
