ranker,team,g,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att,red_zone_scores,red_zone_pct,season
1,Dallas Cowboys,17,230,111,48.3%,23,13,56.5%,71,40,56.3%,2023
2,Buffalo Bills,17,219,109,49.8%,16,9,56.3%,65,41,63.1%,2023
3,Philadelphia Eagles,17,225,108,48.0%,26,19,73.1%,60,36,60.0%,2023
4,Green Bay Packers,17,223,105,47.1%,24,12,50.0%,64,33,51.6%,2023
5,Chicago Bears,17,238,98,41.2%,26,13,50.0%,49,28,57.1%,2023
6,Tampa Bay Buccaneers,17,236,98,41.5%,18,12,66.7%,49,22,44.9%,2023
7,Kansas City Chiefs,17,220,96,43.6%,20,10,50.0%,61,33,54.1%,2023
8,Los Angeles Rams,17,226,95,42.0%,21,13,61.9%,55,35,63.6%,2023
9,Detroit Lions,17,224,93,41.5%,40,21,52.5%,64,41,64.1%,2023
10,Los Angeles Chargers,17,237,91,38.4%,32,15,46.9%,47,27,57.4%,2023
11,New Orleans Saints,17,235,91,38.7%,19,9,47.4%,60,32,53.3%,2023
12,Atlanta Falcons,17,225,90,40.0%,19,8,42.1%,47,22,46.8%,2023
13,Arizona Cardinals,17,225,88,39.1%,34,15,44.1%,44,27,61.4%,2023
14,Houston Texans,17,232,88,37.9%,21,8,38.1%,53,29,54.7%,2023
15,Baltimore Ravens,17,207,87,42.0%,14,8,57.1%,68,42,61.8%,2023
16,Jacksonville Jaguars,17,228,87,38.2%,29,13,44.8%,52,26,50.0%,2023
17,San Francisco 49ers,17,179,85,47.5%,13,7,53.8%,67,45,67.2%,2023
18,Pittsburgh Steelers,17,232,85,36.6%,19,9,47.4%,42,20,47.6%,2023
19,Minnesota Vikings,17,223,85,38.1%,29,17,58.6%,51,24,47.1%,2023
20,Miami Dolphins,17,202,85,42.1%,25,11,44.0%,58,38,65.5%,2023
21,Carolina Panthers,17,249,85,34.1%,48,23,47.9%,36,18,50.0%,2023
22,Indianapolis Colts,17,232,82,35.3%,32,16,50.0%,57,28,49.1%,2023
23,Cincinnati Bengals,17,218,82,37.6%,20,9,45.0%,52,31,59.6%,2023
24,Denver Broncos,17,220,81,36.8%,20,13,65.0%,58,30,51.7%,2023
25,Cleveland Browns,17,253,80,31.6%,32,18,56.3%,50,28,56.0%,2023
26,Las Vegas Raiders,17,216,77,35.6%,23,14,60.9%,47,23,48.9%,2023
27,Washington Commanders,17,216,77,35.6%,29,16,55.2%,49,31,63.3%,2023
28,New York Giants,17,248,75,30.2%,37,18,48.6%,43,19,44.2%,2023
29,Seattle Seahawks,17,207,75,36.2%,16,6,37.5%,54,26,48.1%,2023
30,Tennessee Titans,17,212,71,33.5%,20,11,55.0%,48,23,47.9%,2023
31,New England Patriots,17,222,67,30.2%,25,9,36.0%,36,21,58.3%,2023
32,New York Jets,17,235,61,26.0%,29,17,58.6%,37,12,32.4%,2023
